ddf_name,season_length,season,u,g,r,i,z,y,n_sequences,flush_length,even_odd_None,g_depth_limit

# COSMOS Shallow season
COSMOS, 225, 0,     3, 0, 0, 0, 0, 0,           75, 2, none, 23.5  
COSMOS, 225, 0,     0, 0, 0, 0, 0, 2,           75, 2, none, 23.5  
COSMOS, 225, 0,     0, 2, 0, 2, 0, 0,           100, 0.5, even, 22.8 
COSMOS, 225, 0,     0, 0, 2, 0, 2, 0,           100, 0.5, odd, 22.8

COSMOS, 225, 4,     3, 0, 0, 0, 0, 0,           75, 2, none, 23.5  
COSMOS, 225, 4,     0, 0, 0, 0, 0, 2,           75, 2, none, 23.5  
COSMOS, 225, 4,     0, 2, 0, 2, 0, 0,           100, 0.5, even, 22.8 
COSMOS, 225, 4,     0, 0, 2, 0, 2, 0,           100, 0.5, odd, 22.8

COSMOS, 225, 5,     3, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
COSMOS, 225, 5,     0, 0, 0, 0, 0, 2,          75, 2, none, 23.5  
COSMOS, 225, 5,     0, 2, 0, 2, 0, 0,           100, 0.5, even, 22.8 
COSMOS, 225, 5,     0, 0, 2, 0, 2, 0,           100, 0.5, odd, 22.8

COSMOS, 225, 6,     3, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
COSMOS, 225, 6,     0, 0, 0, 0, 0, 2,          75, 2, none, 23.5  
COSMOS, 225, 6,     0, 2, 0, 2, 0, 0,           100, 0.5, even, 22.8 
COSMOS, 225, 6,     0, 0, 2, 0, 2, 0,           100, 0.5, odd, 22.8

COSMOS, 225, 7,     3, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
COSMOS, 225, 7,     0, 0, 0, 0, 0, 2,          75, 2, none, 23.5  
COSMOS, 225, 7,     0, 2, 0, 2, 0, 0,           100, 0.5, even, 22.8 
COSMOS, 225, 7,     0, 0, 2, 0, 2, 0,           100, 0.5, odd, 22.8

COSMOS, 225, 8,     3, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
COSMOS, 225, 8,     0, 0, 0, 0, 0, 2,          75, 2, none, 23.5  
COSMOS, 225, 8,     0, 2, 0, 2, 0, 0,           100, 0.5, even, 22.8 
COSMOS, 225, 8,     0, 0, 2, 0, 2, 0,           100, 0.5, odd, 22.8

COSMOS, 225, 9,     3, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
COSMOS, 225, 9,     0, 0, 0, 0, 0, 2,          75, 2, none, 23.5  
COSMOS, 225, 9,     0, 2, 0, 2, 0, 0,           100, 0.5, even, 22.8 
COSMOS, 225, 9,     0, 0, 2, 0, 2, 0,           100, 0.5, odd, 22.8

COSMOS, 225, 10,    3, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
COSMOS, 225, 10,    0, 0, 0, 0, 0, 2,          75, 2, none, 23.5  
COSMOS, 225, 10,    0, 2, 0, 2, 0, 0,           100, 0.5, even, 22.8 
COSMOS, 225, 10,    0, 0, 2, 0, 2, 0,           100, 0.5, odd, 22.8

# COSMOS Deep Seasons
COSMOS, 225, 1,     8, 0, 0, 0, 0, 0,           75, 2, none, 23.5  
COSMOS, 225, 1,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
COSMOS, 225, 1,     0, 2, 0, 2, 0, 0,           200, 0.5, none, 22.8 
COSMOS, 225, 1,     0, 0, 2, 0, 2, 0,           200, 0.5, none, 22.8
COSMOS, 180, 1,     0, 4, 18, 55, 52, 0,        110, 2, none, 23.5 

COSMOS, 225, 2,     8, 0, 0, 0, 0, 0,           75, 2, none, 23.5  
COSMOS, 225, 2,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
COSMOS, 225, 2,     0, 2, 0, 2, 0, 0,           200, 0.5, none, 22.8 
COSMOS, 225, 2,     0, 0, 2, 0, 2, 0,           200, 0.5, none, 22.8
COSMOS, 180, 2,     0, 4, 18, 55, 52, 0,        110, 2, none, 23.5 

COSMOS, 225, 3,     8, 0, 0, 0, 0, 0,           75, 2, none, 23.5  
COSMOS, 225, 3,     0, 0, 0, 0, 0, 20,          75, 2, none, 23.5  
COSMOS, 225, 3,     0, 2, 0, 2, 0, 0,           100, 0.5, even, 22.8 
COSMOS, 225, 3,     0, 0, 2, 0, 2, 0,           100, 0.5, odd, 22.8
COSMOS, 180, 3,     0, 4, 18, 55, 52, 0,        110, 2, none, 23.5 

# XMM_LSS shallow seasons
XMM_LSS, 225, 0,     3, 0, 0, 0, 0, 0,          33, 2, none, 23.5  # XXX, gotta scale down because partial season
XMM_LSS, 225, 0,     0, 0, 0, 0, 0, 2,          33, 2, none, 23.5  
XMM_LSS, 225, 0,     0, 2, 0, 2, 0, 0,           56, 0.5, even 
XMM_LSS, 225, 0,     0, 0, 2, 0, 2, 0,           56, 0.5, odd

XMM_LSS, 225, 1,     3, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 225, 1,     0, 0, 0, 0, 0, 2,          75, 2, none, 23.5  
XMM_LSS, 225, 1,     0, 2, 0, 2, 0, 0,           100, 0.5, even, 22.8 
XMM_LSS, 225, 1,     0, 0, 2, 0, 2, 0,           100, 0.5, odd, 22.8

XMM_LSS, 225, 2,     3, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
XMM_LSS, 225, 2,     0, 0, 0, 0, 0, 2,          75, 2, none, 23.5  
