ddf_name,season_length,season,u,g,r,i,z,y,n_sequences,flush_length,even_odd_None,g_depth_limit

# COSMOS Shallow season
COSMOS, 120, 0,     4, 0, 0, 0, 0, 0,           75, 2, none, 23.5  
COSMOS, 120, 0,     0, 0, 0, 0, 0, 3,           75, 2, none, 23.5  
COSMOS, 120, 0,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
COSMOS, 120, 0,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
COSMOS, 80,  0,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
COSMOS, 80,  0,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
COSMOS, 80,  0,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
COSMOS, 80,  0,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

COSMOS, 120, 4,     4, 0, 0, 0, 0, 0,           75, 2, none, 23.5  
COSMOS, 120, 4,     0, 0, 0, 0, 0, 3,           75, 2, none, 23.5  
COSMOS, 120, 4,     0, 2, 0, 3, 0, 0,           60, 0.5, even, 22.8 
COSMOS, 120, 4,     0, 0, 2, 0, 3, 0,           60, 0.5, odd, 22.8
COSMOS, 80,  4,     0, 2, 0, 3, 0, 0,           10, 0.5, early_quad_p_0, 22.8
COSMOS, 80,  4,     0, 0, 2, 0, 3, 0,           10, 0.5, early_quad_p_2, 22.8
COSMOS, 80,  4,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
COSMOS, 80,  4,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

COSMOS, 120, 5,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
COSMOS, 120, 5,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
COSMOS, 120, 5,     0, 2, 0, 3, 0, 0,          60, 0.5, even, 22.8 
COSMOS, 120, 5,     0, 0, 2, 0, 3, 0,          60, 0.5, odd, 22.8
COSMOS, 80,  5,     0, 2, 0, 3, 0, 0,          10, 0.5, early_quad_p_0, 22.8
COSMOS, 80,  5,     0, 0, 2, 0, 3, 0,          10, 0.5, early_quad_p_2, 22.8
COSMOS, 80,  5,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
COSMOS, 80,  5,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

COSMOS, 120, 6,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
COSMOS, 120, 6,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
COSMOS, 120, 6,     0, 2, 0, 3, 0, 0,          60, 0.5, even, 22.8 
COSMOS, 120, 6,     0, 0, 2, 0, 3, 0,          60, 0.5, odd, 22.8
COSMOS, 80,  6,     0, 2, 0, 3, 0, 0,          10, 0.5, early_quad_p_0, 22.8
COSMOS, 80,  6,     0, 0, 2, 0, 3, 0,          10, 0.5, early_quad_p_2, 22.8
COSMOS, 80,  6,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
COSMOS, 80,  6,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

COSMOS, 120, 7,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
COSMOS, 120, 7,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
COSMOS, 120, 7,     0, 2, 0, 3, 0, 0,          60, 0.5, even, 22.8 
COSMOS, 120, 7,     0, 0, 2, 0, 3, 0,          60, 0.5, odd, 22.8
COSMOS, 80,  7,     0, 2, 0, 3, 0, 0,          10, 0.5, early_quad_p_0, 22.8
COSMOS, 80,  7,     0, 0, 2, 0, 3, 0,          10, 0.5, early_quad_p_2, 22.8
COSMOS, 80,  7,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
COSMOS, 80,  7,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

COSMOS, 120, 8,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
COSMOS, 120, 8,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
COSMOS, 120, 8,     0, 2, 0, 3, 0, 0,          60, 0.5, even, 22.8 
COSMOS, 120, 8,     0, 0, 2, 0, 3, 0,          60, 0.5, odd, 22.8
COSMOS, 80,  8,     0, 2, 0, 3, 0, 0,          10, 0.5, early_quad_p_0, 22.8
COSMOS, 80,  8,     0, 0, 2, 0, 3, 0,          10, 0.5, early_quad_p_2, 22.8
COSMOS, 80,  8,     4, 0, 0, 0, 0, 0,            7, 0.5, early_quad_p_2, 22.8
COSMOS, 80,  8,     3, 0, 0, 0, 0, 3,            7, 0.5, early_quad_p_2, 22.8

COSMOS, 120, 9,     4, 0, 0, 0, 0, 0,          75, 2, none, 23.5  
COSMOS, 120, 9,     0, 0, 0, 0, 0, 3,          75, 2, none, 23.5  
COSMOS, 120, 9,     0, 2, 0, 3, 0, 0,          60, 0.5, even, 22.8 
COSMOS, 120, 9,     0, 0, 2, 0, 3, 0,          60, 0.5, odd, 22.8
COSMOS, 80,  9,     0, 2, 0, 3, 0, 0,          10, 0.5, early_quad_p_0, 22.8
COSMOS, 80,  9,     0, 0, 2, 0, 3, 0,          10, 0.5, early_quad_p_2, 22.8
